lndIq/	 billed annually
ctM+rp	Spending stays capped by your plan allowance and the other limits.
p7JFjT	Spending will only be capped by your plan allowance and the other limits.
s+K73L	Start Your Subscription
rCIXU9	Starting {scheduledChangeStartDate}
BrrIs8	Storage
Sv4BSp	Subdomain (yourco.twenty.com)
ShbDuS	Subscribe Now
uvY7Wk	Subscription activated.
0okvpx	Subscription error. Please retry or contact Twenty team
FooJUj	Subscription has been switched to {0} Plan.
WZBvO8	Subscription has been switched to Monthly.
A5YO8f	Subscription has been switched to Yearly.
ulJRqh	Subscription will be switched to {0} Plan the {1}.
7Vg+lX	Subscription will be switched to Monthly the {0}.
GPKudC	Switch to Pro
1EwZPZ	Switch to yearly
3w+Aox	Table, Kanban, Calendar
qMTT4Z	The usage this limit applies to.
RmDTQ6	The whole workspace
kciPHv	This billing period
oW3yYY	This month
h4VeOo	This will cancel the scheduled interval change and keep your current billing interval ({currentIntervalLabel}).
XpARoU	This will cancel the scheduled plan change and keep your current plan ({planKeyWord}).
lhkaAC	Trial
KMw9zY	Trial ends {trialEndDate}, please add card details to keep the {planName}
zHiSsK	Trial ends {trialEndDate}. Please contact your admin to add card details to keep the {planName}
7ZOjOO	Trial ends soon. Please contact your admin to add card details to keep the {planName}
KDw4GX	Try again
EIU345	Two-factor authentication
jqzUyM	Unavailable
NIuIk1	Unlimited
7yiFvZ	Unpaid
9Wwdnk	Unused credits roll over, up to 2× your plan's credits (max {rolloverCapDisplay}).
EkH9pt	Update
XeFxgX	Update payment
JlP83A	Update your payment method
9gm/Oo	Upgrading subscription...
21hsGI	Usage Analytics
7Kq6TI	Usage analytics requires ClickHouse. Contact your administrator.
XglEba	Usage analytics will appear here once you start using credits.
hYXHVl	Usage by App
7vRxpC	Usage by Type
4C6sMs	Usage by User
aL1w5Z	Used
3XIgKU	User roles
5r/Ozr	User Usage
noHthC	View AI usage breakdown
KANz0G	View billing details
BAzC1v	View types
ZjBqNE	View usage
h4KC4F	We couldn't confirm your payment method. Please retry.
TvNBSn	We couldn't load the plans
Fui3cz	We will activate your {planName}. Do you want to proceed?
c7GQY2	We will activate your ${perSeatPriceDisplay}/user/{intervalUnit} {planName}. Do you want to proceed?
4pcfmN	We will activate your paid plan. Do you want to proceed?
LnnVIT	Web Search
k1illW	Webhook Call
UJqqRe	Workflow Execution
RDAH2t	You have scheduled a credit pack change. Do you want to cancel it?
z8eKS7	you will be charged ${enterprisePrice} per user per month
u3S6u8	You will be charged ${monthlyPrice} per user per month billed monthly. The change will be applied the {beautifiedRenewDate}.
/T5zAB	You will be charged ${proPrice} per user per month
W3k5LA	You will be charged ${yearlyPrice} per user per year billed annually. A prorata with your current subscription will be applied.
5K1++A	You will be redirected to add your credit card. Once added, your subscription will start automatically.
dtOZU/	Your billing interval will switch to monthly immediately and your trial will continue. When it ends, you will be charged ${monthlyPrice} per user per month billed monthly.
R6FfrK	Your billing interval will switch to yearly immediately and your trial will continue. When it ends, you will be charged ${yearlyPrice} per user per year billed annually.
u1O1GV	Your card was saved, but the payment still needs attention.
8mfOAZ	Your payment details are incomplete. Please review and retry.
IxG5gy	Your plan will switch to Organization immediately and your trial will continue. When it ends, you will be charged ${enterprisePrice} per user per month{suffix}.
T2GIPK	Your plan will switch to Pro immediately and your trial will continue. When it ends, you will be charged ${proPrice} per user per month{suffix}.
BqByjB	Your subscription is scheduled to end on {scheduledCancellationDateLabel}. You will keep access until then
RhNbPE	Your workspace will be disabled
